id,dominio,via,unidade,variavel,recorte,teste,estatistica,rotulo_estatistica,gl,p,p_ajustado,metodo_ajuste,efeito,rotulo_efeito,ic_inf,ic_sup,n,significativo,artigo
99,contraste,não paramétrica,U-AD,Raiva,D1–D5,Wilcoxon,-1.3695652173913044,Δ,,0.011718685599768628,0.07031211359861177,Holm,0.5255614462264053,r,,,23,0,ambos
100,contraste,não paramétrica,U-AD,Raiva,D1–D6,Wilcoxon,-0.36363636363636365,Δ,,0.6285676800622189,1.0,Holm,0.10313453199274851,r,,,22,0,ambos
101,contraste,não paramétrica,U-AD,Raiva,D1–D7,Wilcoxon,0.35714285714285715,Δ,,0.8014926962708162,1.0,Holm,0.054863413319854906,r,,,21,0,ambos
102,tendência,não paramétrica,U-AD,Vigor,D1..D7,Friedman,19.418719211822644,χ²,6,0.003511930915435946,,,0.17033964220897058,W de Kendall,,,19,1,ambos
103,tendência,não paramétrica,U-AD,Vigor,ordenada D1→D7,L de Page,-3.181046810050682,z,,0.0014674391665732145,,,,,,,19,1,ambos
104,contraste,não paramétrica,U-AD,Vigor,D1–D2,Wilcoxon,-1.6730769230769231,Δ,,0.0012150748593783144,0.006075374296891572,Holm,0.634497986233487,r,,,26,1,ambos
105,contraste,não paramétrica,U-AD,Vigor,D1–D3,Wilcoxon,-1.6730769230769231,Δ,,0.006853804005027264,0.02056141201508179,Holm,0.5302716376519098,r,,,26,1,ambos
106,contraste,não paramétrica,U-AD,Vigor,D1–D4,Wilcoxon,-2.1666666666666665,Δ,,0.004957885081270752,0.019831540325083007,Holm,0.6131393394849659,r,,,21,1,ambos
107,contraste,não paramétrica,U-AD,Vigor,D1–D5,Wilcoxon,-1.6304347826086956,Δ,,0.029508156245620844,0.052407678367927056,Holm,0.45385880921752864,r,,,23,0,ambos
108,contraste,não paramétrica,U-AD,Vigor,D1–D6,Wilcoxon,-1.8181818181818181,Δ,,0.026203839183963528,0.052407678367927056,Holm,0.47398301727952435,r,,,22,0,ambos
109,contraste,não paramétrica,U-AD,Vigor,D1–D7,Wilcoxon,-3.261904761904762,Δ,,0.0002867773740266298,0.001720664244159779,Holm,0.7914676230389569,r,,,21,1,ambos
110,tendência,não paramétrica,U-AD,Fadiga,D1..D7,Friedman,12.8630541871921,χ²,6,0.04526294263974447,,,0.11283380865957983,W de Kendall,,,19,1,ambos
111,tendência,não paramétrica,U-AD,Fadiga,ordenada D1→D7,L de Page,2.9101059145574064,z,,0.003613062933458311,,,,,,,19,1,ambos
112,contraste,não paramétrica,U-AD,Fadiga,D1–D2,Wilcoxon,1.5,Δ,,0.00244600368267177,0.01244888891728332,Holm,0.5942205966151928,r,,,26,1,ambos
113,contraste,não paramétrica,U-AD,Fadiga,D1–D3,Wilcoxon,1.2115384615384615,Δ,,0.041834904881313736,0.1255047146439412,Holm,0.39912746307701735,r,,,26,0,ambos
114,contraste,não paramétrica,U-AD,Fadiga,D1–D4,Wilcoxon,1.6904761904761905,Δ,,0.0812833822715741,0.1255047146439412,Holm,0.38041655213059106,r,,,21,0,ambos
115,contraste,não paramétrica,U-AD,Fadiga,D1–D5,Wilcoxon,1.326086956521739,Δ,,0.047348070771331324,0.1255047146439412,Holm,0.41352022689760276,r,,,23,0,ambos
116,contraste,não paramétrica,U-AD,Fadiga,D1–D6,Wilcoxon,1.9090909090909092,Δ,,0.017579863493742555,0.07031945397497022,Holm,0.5062131837080022,r,,,22,0,ambos
117,contraste,não paramétrica,U-AD,Fadiga,D1–D7,Wilcoxon,3.2857142857142856,Δ,,0.00207481481954722,0.01244888891728332,Holm,0.6719602757938138,r,,,21,1,ambos
118,tendência,não paramétrica,U-AD,Confusão,D1..D7,Friedman,22.736842105263136,χ²,6,0.0008895814012511656,,,0.1994459833795012,W de Kendall,,,19,1,ambos
119,tendência,não paramétrica,U-AD,Confusão,ordenada D1→D7,L de Page,-2.1976317078899035,z,,0.027975361761586548,,,,,,,19,1,ambos
120,contraste,não paramétrica,U-AD,Confusão,D1–D2,Wilcoxon,-0.5,Δ,,0.07462813931115006,0.2522269877679847,Holm,0.3496246778099855,r,,,26,0,ambos
121,contraste,não paramétrica,U-AD,Confusão,D1–D3,Wilcoxon,-0.7307692307692307,Δ,,0.009363437608220067,0.046817188041100334,Holm,0.5096061008963275,r,,,26,1,ambos
122,contraste,não paramétrica,U-AD,Confusão,D1–D4,Wilcoxon,-0.7857142857142857,Δ,,0.06305674694199617,0.2522269877679847,Holm,0.4056214838307069,r,,,21,0,ambos
123,contraste,não paramétrica,U-AD,Confusão,D1–D5,Wilcoxon,-0.8260869565217391,Δ,,0.004861991788476002,0.02917195073085601,Holm,0.5871845102976366,r,,,23,1,ambos
124,contraste,não paramétrica,U-AD,Confusão,D1–D6,Wilcoxon,-0.4772727272727273,Δ,,0.2074935813077734,0.2522269877679847,Holm,0.2687368220247353,r,,,22,0,ambos
125,contraste,não paramétrica,U-AD,Confusão,D1–D7,Wilcoxon,-0.5952380952380952,Δ,,0.06671699590108497,0.2522269877679847,Holm,0.4001190299088987,r,,,21,0,ambos
126,tendência,não paramétrica,U-AD,TMD,D1..D7,Friedman,8.994296577946734,χ²,6,0.1738990815211158,,,0.07889733840304153,W de Kendall,,,19,0,ambos
127,tendência,não paramétrica,U-AD,TMD,ordenada D1→D7,L de Page,0.5619514869490164,z,,0.5741490727971619,,,,,,,19,0,ambos
128,contraste,não paramétrica,U-AD,TMD,D1–D2,Wilcoxon,2.3653846153846154,Δ,,0.03566412609379202,0.21398475656275212,Holm,0.4119882725862133,r,,,26,0,ambos
129,contraste,não paramétrica,U-AD,TMD,D1–D3,Wilcoxon,0.8269230769230769,Δ,,0.6840745601088575,1.0,Holm,0.0798014913089793,r,,,26,0,ambos
130,contraste,não paramétrica,U-AD,TMD,D1–D4,Wilcoxon,1.5952380952380953,Δ,,0.5326648200670738,1.0,Holm,0.13615559133734623,r,,,21,0,ambos
131,contraste,não paramétrica,U-AD,TMD,D1–D5,Wilcoxon,-0.6304347826086957,Δ,,0.78085247671636,1.0,Holm,0.05801043715252428,r,,,23,0,ambos
132,contraste,não paramétrica,U-AD,TMD,D1–D6,Wilcoxon,2.4545454545454546,Δ,,0.2986598026425107,1.0,Holm,0.2215819955324673,r,,,22,0,ambos
133,contraste,não paramétrica,U-AD,TMD,D1–D7,Wilcoxon,5.380952380952381,Δ,,0.055807301363664644,0.2790365068183232,Holm,0.41734987460483464,r,,,21,0,ambos
134,tendência,não paramétrica,U-AD,Fad.Física,D1..D7,Friedman,48.12292682926824,χ²,6,1.116639504570389e-08,,,0.4221309370988442,W de Kendall,,,19,1,ambos
135,tendência,não paramétrica,U-AD,Fad.Física,ordenada D1→D7,L de Page,5.950664852870834,z,,2.6705544442506834e-09,,,,,,,19,1,ambos
136,contraste,não paramétrica,U-AD,Fad.Física,D1–D2,Wilcoxon,1.3076923076923077,Δ,,0.0014768873915262306,0.004647881692233127,Holm,0.6234898822117471,r,,,26,1,ambos
